EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE1,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,DEATHS_DIRECT1,DEATHS_INDIRECT,DEATHS_DIRECT,INJURIES_INDIRECT,INJURIES_DIRECT1,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM1,DAMAGE_CROPS_NUM,DAMAGE_PROPERTY_NUM,STATE_ABBR,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,SOURCE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_DATE
673016,TURNER CO.,HOBBY,24-Feb,1550,Tornado, ,0,0,0,0,25,25,5000000,0,5000000,GA,EST-5,112358,C,287,TAE,NWS Storm Survey,18.5,2200,5,NW,4,NW,31.7096,-83.7969,31.8478,-83.5272,2013
680335,BOX ELDER CO.,PERRY,25-Feb,0,Flood, ,0,0,0,0,0,0,5000000,0,5000000,UT,MST-7,113664,C,3,SLC,Other Federal Agency, , ,3,ENE,3,E,41.4819,-111.9713,41.9872,-112.1704,2013
672302,LANCASTER CO.,LEXINGTON,26-Feb,1535,Thunderstorm Wind,78,0,0,0,0,0,0,5000000,0,5000000,PA,EST-5,112579,C,71,CTP,NWS Storm Survey, , ,0,N,2,WNW,40.2058,-76.3013,40.2959,-76.1694,2013
681118,SAN DIEGO CO.,OVERLOOK,27-Feb,1300,Flood, ,0,0,0,0,0,0,5000000,0,5000000,CA,PST-8,113756,C,73,SGX,Fire Department/Rescue, , ,1,SSW,1,S,32.763,-117.2012,32.755,-117.1967,2013
674060,MASON (ZONE), ,28-Feb,800,High Wind,50,0,0,0,0,0,0,5000000,0,5000000,MI,EST-5,112822,Z,37,GRR,AWOS, , , , , , , , , , ,2013
674065,OSCEOLA (ZONE), ,1-Mar,800,High Wind,50,0,0,0,0,0,0,5000000,0,5000000,MI,EST-5,112822,Z,39,GRR,Trained Spotter, , , , , , , , , , ,2013
674068,CLARE (ZONE), ,2-Mar,800,High Wind,52,2,0,2,0,0,0,5000000,0,5000000,MI,EST-5,112822,Z,40,GRR,Law Enforcement, , , , , , , , , , ,2013
674062,LAKE (ZONE), ,3-Mar,800,High Wind,50,0,0,0,0,0,0,5000000,0,5000000,MI,EST-5,112822,Z,38,GRR,Trained Spotter, , , , , , , , , , ,2013
695198,RAPIDES PAR.,MEEKER,4-Mar,1630,Flash Flood, ,0,0,0,0,0,0,5000000,0,5000000,LA,CST-6,115191,C,79,LCH,NWS Storm Survey, , ,2,WSW,7,NNE,31.0577,-92.4081,31.4815,-92.2371,2013
691361,SHANNON CO.,EMINENCE,5-Mar,1500,Flash Flood, ,0,0,0,0,0,0,5000000,0,5000000,MO,CST-6,114084,C,203,SGF,NWS Storm Survey, , ,1,NE,0,NE,37.1569,-91.3636,37.1549,-91.3648,2013
